year,geo_description,subtype,estimate,se,type
2007,"Forsyth County, NC",Total,386.5,10.6833364015874,Comparison Community
2008,"Forsyth County, NC",Total,467.2,11.6483385815935,Comparison Community
2009,"Forsyth County, NC",Total,384.3,10.5005939028439,Comparison Community
2010,"Forsyth County, NC",Total,356.8,10.0762414983643,Comparison Community
2011,"Forsyth County, NC",Total,377.3,10.311697806057,Comparison Community
2012,"Forsyth County, NC",Total,383,10.3441804990396,Comparison Community
2013,"Forsyth County, NC",Total,324.4,9.47953035993215,Comparison Community
2014,"Forsyth County, NC",Total,397.3,10.4337164141896,Comparison Community
2015,"Forsyth County, NC",Total,426.8,10.7704618484924,Comparison Community
2016,"Forsyth County, NC",Total,467.9,11.2209722692714,Comparison Community
2007,"Durham County, NC",Total,359,11.9168679061278,Comparison Community
2008,"Durham County, NC",Total,354.6,11.6928725471236,Comparison Community
2009,"Durham County, NC",Total,318.6,10.9574230576865,Comparison Community
2010,"Durham County, NC",Total,350.9,11.3722180343819,Comparison Community
2011,"Durham County, NC",Total,363.4,11.4563397356965,Comparison Community
2012,"Durham County, NC",Total,396.9,11.842691085477,Comparison Community
2013,"Durham County, NC",Total,336.6,10.7929009521748,Comparison Community
2014,"Durham County, NC",Total,402.8,11.67599537556,Comparison Community
2015,"Durham County, NC",Total,480.4,12.6296920379421,Comparison Community
2016,"Durham County, NC",Total,447.5,12.0715679299585,Comparison Community
2007,"Guilford County, NC",Total,402.7,9.27153787076296,Comparison Community
2008,"Guilford County, NC",Total,336.5,8.39199799362989,Comparison Community
2009,"Guilford County, NC",Total,301.7,7.8937657066626,Comparison Community
2010,"Guilford County, NC",Total,270.2,7.42925101071492,Comparison Community
2011,"Guilford County, NC",Total,274.6,7.4463247109354,Comparison Community
2012,"Guilford County, NC",Total,274.1,7.39790783498708,Comparison Community
2013,"Guilford County, NC",Total,259.7,7.15863299182792,Comparison Community
2014,"Guilford County, NC",Total,244.9,6.91241949900266,Comparison Community
2015,"Guilford County, NC",Total,307.3,7.70429617624321,Comparison Community
2016,"Guilford County, NC",Total,350.7,8.19661045000558,Comparison Community
2007,North Carolina,Total,292.1,1.78984368344424,Comparison Community
2008,North Carolina,Total,286.1,1.75306064548775,Comparison Community
2009,North Carolina,Total,256.4,1.6472255845622,Comparison Community
2010,North Carolina,Total,242.3,1.59083227483497,Comparison Community
2011,North Carolina,Total,229.4,1.54078508345772,Comparison Community
2012,North Carolina,Total,234.8,1.55141774211125,Comparison Community
2013,North Carolina,Total,220.1,1.49484461265225,Comparison Community
2014,North Carolina,Total,221.6,1.49302247780991,Comparison Community
2015,North Carolina,Total,239.5,1.54435680302484,Comparison Community
2016,North Carolina,Total,251,1.57202983284428,Comparison Community
