"","year","geo_description","subtype","estimate","se","type"
"1",2007,"Forsyth County, NC","Total",674.9,14.1173073143059,"Comparison Community"
"2",2008,"Forsyth County, NC","Total",750.1,14.7595171991191,"Comparison Community"
"3",2009,"Forsyth County, NC","Total",614,13.2728093530889,"Comparison Community"
"4",2010,"Forsyth County, NC","Total",532.9,12.3142794533264,"Comparison Community"
"5",2011,"Forsyth County, NC","Total",553.2,12.4861302284376,"Comparison Community"
"6",2012,"Forsyth County, NC","Total",545,12.3394258975432,"Comparison Community"
"7",2013,"Forsyth County, NC","Total",497.9,11.7440383886094,"Comparison Community"
"8",2014,"Forsyth County, NC","Total",561,12.3982724774389,"Comparison Community"
"9",2015,"Forsyth County, NC","Total",597.2,12.740369415567,"Comparison Community"
"10",2016,"Forsyth County, NC","Total",651.5,13.2407070374331,"Comparison Community"
"11",2007,"Durham County, NC","Total",739.7,17.1057732349761,"Comparison Community"
"12",2008,"Durham County, NC","Total",760,17.1182216886068,"Comparison Community"
"13",2009,"Durham County, NC","Total",630.5,15.4144519914891,"Comparison Community"
"14",2010,"Durham County, NC","Total",646.6,15.4372999850519,"Comparison Community"
"15",2011,"Durham County, NC","Total",671.2,15.569669596084,"Comparison Community"
"16",2012,"Durham County, NC","Total",666,15.3407631945886,"Comparison Community"
"17",2013,"Durham County, NC","Total",599.8,14.4073586156965,"Comparison Community"
"18",2014,"Durham County, NC","Total",675.5,15.1203505530174,"Comparison Community"
"19",2015,"Durham County, NC","Total",785,16.1445554094007,"Comparison Community"
"20",2016,"Durham County, NC","Total",795.4,16.0938502547203,"Comparison Community"
"21",2007,"Guilford County, NC","Total",744.4,12.605618053868,"Comparison Community"
"22",2008,"Guilford County, NC","Total",670.7,11.847780246017,"Comparison Community"
"23",2009,"Guilford County, NC","Total",589.8,11.0369471018975,"Comparison Community"
"24",2010,"Guilford County, NC","Total",478.9,9.89064873436569,"Comparison Community"
"25",2011,"Guilford County, NC","Total",474.5,9.78835726902797,"Comparison Community"
"26",2012,"Guilford County, NC","Total",449.3,9.47158384238859,"Comparison Community"
"27",2013,"Guilford County, NC","Total",424.2,9.14912276072346,"Comparison Community"
"28",2014,"Guilford County, NC","Total",392,8.74538085752366,"Comparison Community"
"29",2015,"Guilford County, NC","Total",483.8,9.66684203545511,"Comparison Community"
"30",2016,"Guilford County, NC","Total",541.4,10.1841676078184,"Comparison Community"
"31",2007,"North Carolina","Total",480.5,2.29559896838251,"Comparison Community"
"32",2008,"North Carolina","Total",477,2.26358705163131,"Comparison Community"
"33",2009,"North Carolina","Total",417.2,2.10119432194766,"Comparison Community"
"34",2010,"North Carolina","Total",373.9,1.97617508200919,"Comparison Community"
"35",2011,"North Carolina","Total",356.7,1.92130765554428,"Comparison Community"
"36",2012,"North Carolina","Total",358.9,1.91807876206555,"Comparison Community"
"37",2013,"North Carolina","Total",340.4,1.8590060580439,"Comparison Community"
"38",2014,"North Carolina","Total",332.9,1.82994638528027,"Comparison Community"
"39",2015,"North Carolina","Total",356.2,1.88339686952032,"Comparison Community"
"40",2016,"North Carolina","Total",374.9,1.92124010154881,"Comparison Community"
