Age,Gender,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
1 year,N,1302.5394,1297.35,1309.80456,1318.1076,1289.04696,1268.28936,1254.79692,1186.29684,1182.14532,1229.8878,1229.8878,1229.8878
2-3 years,N,1366.88796,1358.58492,1367.92584,1383.49404,1337.82732,1317.06972,1300.46364,1219.509,1218.47112,1243.38024,1243.38024,1243.38024
4-5 years,N,1409.44104,1401.138,1411.5168,1428.12288,1387.64556,1371.03948,1349.244,1268.28936,1272.44088,1303.57728,1303.57728,1303.57728
6-8 years,N,1991.69172,1988.57808,2029.0554,2009.33568,1930.4568,1909.6992,1848.46428,1747.78992,1731.18384,1751.94144,1751.94144,1751.94144
9-11 years,N,2145.29796,2131.80552,2143.2222,2172.28284,2101.707,2078.87364,2036.32056,1914.8886,1930.4568,1975.08564,1975.08564,1975.08564
12-13 years,M,2462.88924,2454.5862,2478.45744,2480.5332,2421.37404,2393.35128,2334.19212,2206.53288,2201.34348,2234.55564,2234.55564,2234.55564
14-18 years,M,2502.32868,2495.06352,2513.74536,2518.93476,2466.00288,2444.2074,2396.46492,2263.61628,2279.18448,2318.62392,2318.62392,2318.62392
19-50 years,M,2486.76048,2475.3438,2500.25292,2509.59384,2446.28316,2419.29828,2365.32852,2232.47988,2236.6314,2286.44964,2286.44964,2286.44964
51-70 years,M,2346.64668,2334.19212,2354.94972,2370.51792,2310.32088,2283.336,2243.89656,2111.04792,2123.50248,2177.47224,2177.47224,2177.47224
71+ years,M,2316.54816,2307.20724,2341.45728,2353.91184,2293.7148,2273.99508,2220.02532,2091.3282,2100.66912,2155.67676,2155.67676,2155.67676
12-13 years,F,2122.4646,2112.0858,2127.654,2145.29796,2089.25244,2067.45696,2024.90388,1904.5098,1919.04012,1960.55532,1960.55532,1960.55532
14-18 years,F,2118.31308,2114.16156,2135.95704,2142.18432,2093.40396,2074.72212,2023.866,1913.85072,1922.15376,1965.74472,1965.74472,1965.74472
19-50 years,F,2153.601,2142.18432,2167.09344,2178.51012,2121.42672,2098.59336,2055.0024,1934.60832,1940.8356,1997.919,1997.919,1997.919
51-70 years,F,2096.5176,2087.17668,2110.01004,2125.57824,2074.72212,2052.92664,2008.2978,1889.97948,1897.24464,1952.25228,1952.25228,1952.25228
71+ years,F,2072.64636,2060.1918,2093.40396,2107.93428,2060.1918,2043.58572,1990.65384,1873.3734,1874.41128,1937.72196,1937.72196,1937.72196
